;temps_eclo;survie_egg;temps_dev;taux_femelle;fecondite_ninf;fecondite_inf;transmissibilite;IC
Inf;9;0,88;8;0,52;11,5;11,5;0,97;0,8
Ninf;9;0,88;8;0,52;11,5;11,5;1;0
